gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	recordedByID	identifiedByID	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name
2464444735																										CAR:1222:2017:00606									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MACHINE_OBSERVATION				CAR:1222:2017:00606			Cesar Talero									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-10-10T00:00:00	09:00:00			2017	10	10			Parcela									SOUTH_AMERICA				CO	Boyacá	Chiquinquirá		Parque Juan Pablo segund								5.607994	-73.810256																																				Cesar Talero	2017-10-10T00:00:00												Quercus humboldtii Bonpl.								Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus		humboldtii		SPECIES		Roble		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.035Z	2661.0								true	false	2880642	2880642	6	7707728	220	1354	4689	2877951		2880642	Quercus humboldtii	Quercus	Quercus humboldtii Bonpl.	Quercus humboldtii		DWC_ARCHIVE	2020-09-01T14:02:29.035Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.6_1	Boyacá	COL.6.16_1	Chiquinquirá		
2464444734																										CAR:1222:2017:00602									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MACHINE_OBSERVATION				CAR:1222:2017:00602			Cesar Talero									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-09-22T00:00:00	09:00:00			2017	9	22			Puntual									SOUTH_AMERICA				CO	Cundinamarca	San Francisco		Las Lajas								4.950608	-74.22996																																				Cesar Talero	2017-09-22T00:00:00												Quercus humboldtii Bonpl.								Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus		humboldtii		SPECIES		Roble		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.028Z	2819.0								true	false	2880642	2880642	6	7707728	220	1354	4689	2877951		2880642	Quercus humboldtii	Quercus	Quercus humboldtii Bonpl.	Quercus humboldtii		DWC_ARCHIVE	2020-09-01T14:02:29.028Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.87_1	Subachoque		
2464444733																										CAR:1222:2017:00598									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MACHINE_OBSERVATION				CAR:1222:2017:00598			Cesar Talero									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-09-22T00:00:00	09:25:00			2017	9	22			Puntual									SOUTH_AMERICA				CO	Cundinamarca	San Francisco		Las Lajas								4.941474	-74.229904																																				Cesar Talero	2017-09-22T00:00:00												Quercus humboldtii Bonpl.								Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus		humboldtii		SPECIES		Roble		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.952Z	2824.0								true	false	2880642	2880642	6	7707728	220	1354	4689	2877951		2880642	Quercus humboldtii	Quercus	Quercus humboldtii Bonpl.	Quercus humboldtii		DWC_ARCHIVE	2020-09-01T14:02:29.952Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.87_1	Subachoque		
2464444732																										CAR:1222:2017:00594									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MACHINE_OBSERVATION				CAR:1222:2017:00594			Cesar Talero									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-09-22T00:00:00	09:05:00			2017	9	22			Puntual									SOUTH_AMERICA				CO	Cundinamarca	San Francisco		Las Lajas								4.94103	-74.094315																																				Cesar Talero	2017-09-22T00:00:00												Quercus humboldtii Bonpl.								Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus		humboldtii		SPECIES		Roble		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.969Z	2816.0								true	false	2880642	2880642	6	7707728	220	1354	4689	2877951		2880642	Quercus humboldtii	Quercus	Quercus humboldtii Bonpl.	Quercus humboldtii		DWC_ARCHIVE	2020-09-01T14:02:29.969Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.92_1	Tabio		
2464444731																										CAR:1222:2017:00590									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MACHINE_OBSERVATION				CAR:1222:2017:00590			Cesar Talero									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-11-24T00:00:00	10:15:00			2017	11	24			Puntual									SOUTH_AMERICA				CO	Cundinamarca	Cabrera		Pueblo viejo								3.913876	-74.440601																																				Cesar Talero	2017-11-24T00:00:00												Quercus humboldtii Bonpl.								Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus		humboldtii		SPECIES		Roble		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.962Z	2045.0								true	false	2880642	2880642	6	7707728	220	1354	4689	2877951		2880642	Quercus humboldtii	Quercus	Quercus humboldtii Bonpl.	Quercus humboldtii		DWC_ARCHIVE	2020-09-01T14:02:29.962Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.10_1	Cabrera		
2464444730																										CAR:1222:2017:00491									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MACHINE_OBSERVATION				CAR:1222:2017:00491			Cesar Talero									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-11-09T00:00:00				2017	11	9			Puntual									SOUTH_AMERICA				CO	Cundinamarca	Anapoima		El Triunfo								4.545047	-74.499287																																				Cesar Talero	2017-11-09T00:00:00												Attalea butyracea (Mutis ex L.f.) Wess.Boer								Plantae	Tracheophyta	Liliopsida	Arecales	Arecaceae	Attalea		butyracea		SPECIES		Palma de vino		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.375Z	800.0						TAXON_MATCH_FUZZY		true	false	2732721	2732721	6	7707728	196	552	7681	2732664		2732721	Attalea butyracea	Attalea	Attalea butyracea (Mutis ex L.f.) Wess.Boer	Attalea buttyracea		DWC_ARCHIVE	2020-09-01T14:02:29.375Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.24_1	El Colegio		
2464444729																										CAR:1222:2017:00488									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MACHINE_OBSERVATION				CAR:1222:2017:00488			Cesar Talero									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-11-09T00:00:00				2017	11	9			Puntual									SOUTH_AMERICA				CO	Cundinamarca	Anapoima		El Copial								4.521569	-74.560303																																				Cesar Talero	2017-11-09T00:00:00												Attalea butyracea (Mutis ex L.f.) Wess.Boer								Plantae	Tracheophyta	Liliopsida	Arecales	Arecaceae	Attalea		butyracea		SPECIES		Palma de vino		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.391Z	697.0						TAXON_MATCH_FUZZY		true	false	2732721	2732721	6	7707728	196	552	7681	2732664		2732721	Attalea butyracea	Attalea	Attalea butyracea (Mutis ex L.f.) Wess.Boer	Attalea buttyracea		DWC_ARCHIVE	2020-09-01T14:02:29.391Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.3_1	Anapoima		
2464444728																										CAR:1222:2017:00484									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MACHINE_OBSERVATION				CAR:1222:2017:00484			Cesar Talero									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-10-11T00:00:00	13:00:00			2017	10	11			Puntual									SOUTH_AMERICA				CO	Cundinamarca	Vergara		La Montaña								5.092089	-74.353248																																				Cesar Talero	2017-10-11T00:00:00												Ceroxylon Bonpl. ex DC.								Plantae	Tracheophyta	Liliopsida	Arecales	Arecaceae	Ceroxylon				GENUS		Palma de cera		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.410Z	1586.0								true	false	2731821	2731821	6	7707728	196	552	7681	2731821				Ceroxylon	Ceroxylon Bonpl. ex DC.	Ceroxylon		DWC_ARCHIVE	2020-09-01T14:02:29.410Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.106_1	Vergara		
2464444727																										CAR:1222:2017:00480									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MACHINE_OBSERVATION				CAR:1222:2017:00480			Cesar Talero									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-10-11T00:00:00	12:45:00			2017	10	11			Puntual									SOUTH_AMERICA				CO	Cundinamarca	Vergara		La Montaña								5.090283	-74.347142																																				Cesar Talero	2017-10-11T00:00:00												Ceroxylon Bonpl. ex DC.								Plantae	Tracheophyta	Liliopsida	Arecales	Arecaceae	Ceroxylon				GENUS		Palma de cera		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.404Z	1616.0								true	false	2731821	2731821	6	7707728	196	552	7681	2731821				Ceroxylon	Ceroxylon Bonpl. ex DC.	Ceroxylon		DWC_ARCHIVE	2020-09-01T14:02:29.404Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.106_1	Vergara		
2464444726																										CAR:1222:2017:00477									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MACHINE_OBSERVATION				CAR:1222:2017:00477			Cesar Talero									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-10-06T00:00:00	11:40:00			2017	10	6			Puntual									SOUTH_AMERICA				CO	Cundinamarca	Vergara		Montedulce								5.08088	-74.267975																																				Cesar Talero	2017-10-06T00:00:00												Ceroxylon Bonpl. ex DC.								Plantae	Tracheophyta	Liliopsida	Arecales	Arecaceae	Ceroxylon				GENUS		Palma de cera		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.416Z	1416.0								true	false	2731821	2731821	6	7707728	196	552	7681	2731821				Ceroxylon	Ceroxylon Bonpl. ex DC.	Ceroxylon		DWC_ARCHIVE	2020-09-01T14:02:29.416Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.89_1	Supatá		
2464444725																										CAR:1222:2017:00220									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MACHINE_OBSERVATION				CAR:1222:2017:00220			Cesar Talero									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-06-14T00:00:00	13:00:00			2017	6	14			Puntual									SOUTH_AMERICA				CO	Cundinamarca	Quebradanegra		Concepción parte alta								5.101684	-74.48815																																				Cesar Talero	2017-06-14T00:00:00												Anacardium excelsum Skeels								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Anacardiaceae	Anacardium		excelsum		SPECIES		Caracolí		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.461Z	1271.0								true	false	5544303	5544303	6	7707728	220	933	2398	5421367		5544303	Anacardium excelsum	Anacardium	Anacardium excelsum Skeels	Anacardium excelsum		DWC_ARCHIVE	2020-09-01T14:02:29.461Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.70_1	Quebradanegra		
2464444724																										CAR:1222:2017:00217									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MACHINE_OBSERVATION				CAR:1222:2017:00217			Cesar Talero									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-06-14T00:00:00	11:30:00			2017	6	14			Puntual									SOUTH_AMERICA				CO	Cundinamarca	Quebradanegra		Concepción parte alta								5.101485	-74.487853																																				Cesar Talero	2017-06-14T00:00:00												Anacardium excelsum Skeels								Plantae	Tracheophyta	Magnoliopsida	Sapindales	Anacardiaceae	Anacardium		excelsum		SPECIES		Caracolí		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.176Z	1274.0								true	false	5544303	5544303	6	7707728	220	933	2398	5421367		5544303	Anacardium excelsum	Anacardium	Anacardium excelsum Skeels	Anacardium excelsum		DWC_ARCHIVE	2020-09-01T14:02:29.176Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.70_1	Quebradanegra		
2464444723																										CAR:1086:2018:00704									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Evento		899.999.062-6		CAR:1086:2018	Corporación Autonoma regional de Cundinamarca (CAR)		Actualización del plan de prevención, manejo y control de la especie Procambarus clarkii		HUMAN_OBSERVATION				CAR:1086:2018:00704			Julio Cesar Sanchez									PRESENT							Entrevista a pobladores reportando gran cantidad de individuos												2018-03-13T00:00:00				2018	3	13		Aguas lenticas	Puntual					Entrevista a pobadores aduciendo gran cantida de individuos				SOUTH_AMERICA				CO	Cundinamarca	Sopó		Finkana								4.9788	-73.9608																																				Julio Cesar Sanchez	2018-03-13T00:00:00												Procambarus clarkii (Girard, 1852)								Animalia	Arthropoda	Malacostraca	Decapoda	Cambaridae	Procambarus		clarkii		SPECIES		Cangrejo Rojo Americano		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.789Z	0.0								true	false	2227300	2227300	1	54	229	637	4479	2227127		2227300	Procambarus clarkii	Procambarus	Procambarus clarkii (Girard, 1852)	Procambarus clarkii		DWC_ARCHIVE	2020-09-01T14:02:29.789Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.115_1	Zipaquirá		
2464444722																										CAR:1049:2017:00630									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Evento		899.999.062-6		CAR:1049:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Formulación del plan de manejo y conservación de la especie Porphyriops melanops bogotensis		HUMAN_OBSERVATION				CAR:1049:2017:00630			Nelson Londoño Gutiérrez-Juan Camilo Duque Yate									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-09-20T00:00:00				2017	9	20		Humedales del altiplano Cundiboyacense	Puntual									SOUTH_AMERICA				CO	Cundinamarca	Fúquene										5.4523	-73.7276																																				Nelson Londoño Gutiérrez-Juan Camilo Duque Yate	2017-09-20T00:00:00												Porphyriops melanops (Vieillot, 1819)								Animalia	Chordata	Aves	Gruiformes	Rallidae	Gallinula		melanops		SPECIES		Tingua moteada, Polla de agua, Polla sabanera		SYNONYM			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.123Z	2560.0						TAXON_MATCH_HIGHERRANK		true	false	2474784	5228216	1	44	212	1493	9342	7918617		5228216	Gallinula melanops	Porphyriops	Gallinula melanops (Vieillot, 1819)	Porphyriops melanops bogotensis		DWC_ARCHIVE	2020-09-01T14:02:29.123Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.6_1	Boyacá	COL.6.75_1	Ráquira		
2464444721																										CAR:1049:2017:00627									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Evento		899.999.062-6		CAR:1049:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Formulación del plan de manejo y conservación de la especie Porphyriops melanops bogotensis		HUMAN_OBSERVATION				CAR:1049:2017:00627			Nelson Londoño Gutiérrez-Juan Camilo Duque Yate									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-08-29T00:00:00				2017	8	29		Humedales del altiplano Cundiboyacense	Puntual									SOUTH_AMERICA				CO	Cundinamarca	El Rosal		El Rodeo								4.85	-74.2221																																				Nelson Londoño Gutiérrez-Juan Camilo Duque Yate	2017-08-29T00:00:00												Porphyriops melanops (Vieillot, 1819)								Animalia	Chordata	Aves	Gruiformes	Rallidae	Gallinula		melanops		SPECIES		Tingua moteada, Polla de agua, Polla sabanera		SYNONYM			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.103Z	2583.0						TAXON_MATCH_HIGHERRANK		true	false	2474784	5228216	1	44	212	1493	9342	7918617		5228216	Gallinula melanops	Porphyriops	Gallinula melanops (Vieillot, 1819)	Porphyriops melanops bogotensis		DWC_ARCHIVE	2020-09-01T14:02:29.103Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.87_1	Subachoque		
2464444720																										CAR:1049:2017:00234									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Evento		899.999.062-6		CAR:1049:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Formulación del plan de prevención, manejo y control de la especie Molothrus bonariensis		HUMAN_OBSERVATION				CAR:1049:2017:00234			Nelson Londoño Gutiérrez-Andrés Cortés Ladino									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-11-16T00:00:00				2017	11	16		Generalista	Puntual									SOUTH_AMERICA				CO	Cundinamarca	Sesquilé										4.9963	-73.8096																																				Nelson Londoño Gutiérrez-Andrés Cortés Ladino													Molothrus bonariensis (Gmelin, 1789)								Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		bonariensis		SPECIES		Chamón		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.334Z	0.0								true	false	2484396	2484396	1	44	212	729	6176	2484385		2484396	Molothrus bonariensis	Molothrus	Molothrus bonariensis (Gmelin, 1789)	Molothrus bonariensis		DWC_ARCHIVE	2020-09-01T14:02:29.334Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.81_1	Sesquilé		
2464444719																										CAR:1049:2017:00230									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Evento		899.999.062-6		CAR:1049:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Formulación del plan de prevención, manejo y control de la especie Molothrus bonariensis		HUMAN_OBSERVATION				CAR:1049:2017:00230			Nelson Londoño Gutiérrez-Andrés Cortés Ladino									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-08-25T00:00:00				2017	8	25		Generalista	Puntual									SOUTH_AMERICA				CO	Cundinamarca	Funza										4.7322	-74.1802																																				Nelson Londoño Gutiérrez-Andrés Cortés Ladino	2017-08-25T00:00:00												Molothrus bonariensis (Gmelin, 1789)								Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		bonariensis		SPECIES		Chamón		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.328Z	2568.0								true	false	2484396	2484396	1	44	212	729	6176	2484385		2484396	Molothrus bonariensis	Molothrus	Molothrus bonariensis (Gmelin, 1789)	Molothrus bonariensis		DWC_ARCHIVE	2020-09-01T14:02:29.328Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.22_1	Cota		
2464444718																										CAR:933:2015:00014									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Sonido		899.999.062-6		CAR:933:2015	Corporación Autonoma regional de Cundinamarca (CAR)		Formulación del plan de manejo y conservación de la especie Choloepus hoffmanni		HUMAN_OBSERVATION				CAR:933:2015:00014			Diana Romero									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2015-05-17T00:00:00				2015	5	17			Puntual									SOUTH_AMERICA				CO	Cundinamarca	Fusagasugá		Chinauta								4.3125	-74.4402																																				Diana Romero	2015-05-17T00:00:00												Lithobates catesbeianus (Shaw, 1802)								Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates		catesbeianus		SPECIES		Rana Toro o bramadora		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.643Z	0.0								true	false	2427091	2427091	1	44	131	952	6746	2427046		2427091	Lithobates catesbeianus	Lithobates	Lithobates catesbeianus (Shaw, 1802)	Lithobates catesbeianus		DWC_ARCHIVE	2020-09-01T14:02:29.643Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.31_1	Fusagasugá		
2464444717																										CAR:933:2015:00010									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Sonido		899.999.062-6		CAR:933:2015	Corporación Autonoma regional de Cundinamarca (CAR)		Formulación del plan de manejo y conservación de la especie Choloepus hoffmanni		HUMAN_OBSERVATION				CAR:933:2015:00010			Diana Romero									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2015-09-04T00:00:00				2015	9	4			Puntual									SOUTH_AMERICA				CO	Cundinamarca	Fusagasugá		Chinauta								4.2929	-74.4482																																				Diana Romero	2015-09-04T00:00:00												Lithobates catesbeianus (Shaw, 1802)								Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates		catesbeianus		SPECIES		Rana Toro o bramadora		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.870Z	0.0								true	false	2427091	2427091	1	44	131	952	6746	2427046		2427091	Lithobates catesbeianus	Lithobates	Lithobates catesbeianus (Shaw, 1802)	Lithobates catesbeianus		DWC_ARCHIVE	2020-09-01T14:02:29.870Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.31_1	Fusagasugá		
